CVEID	Method or Impact	Context	Artifact	Countermeasure	Phase	Category
CVE-2021-34527	Code Execution	Application	Application	Software Update	Containment	General
CVE-2021-34527	Code Execution	Application	Application	Asset Vulnerability Enumeration	Identification	General
CVE-2021-34527	Code Execution	Application	Application	Service Binary Verification	Identification	General
CVE-2021-34527	Privilege Escalation	Application	Process Code Segment	Process Code Segment Verification	Identification	Process
CVE-2021-34527	Privilege Escalation	Application	Process Code Segment	Memory Boundary Tracking	Identification	Process
CVE-2021-34527	Privilege Escalation	Application	Process Code Segment	Process Segment Execution Prevention	Identification	Process
CVE-2021-34527	Privilege Escalation	Application	Process Code Segment	Segment Address Offset Randomization	Containment	Process
CVE-2021-34527	Privilege Escalation	Application	Process Code Segment	Asset Vulnerability Enumeration	Identification	Process
CVE-2021-34527	Privilege Escalation	Application	Stack Frame	Stack Frame Canary Validation	Identification	General
CVE-2021-34527	Privilege Escalation	Application	Stack Frame	Shadow Stack Comparisons	Identification	General
CVE-2021-34527	Privilege Escalation	Application	Stack Frame	Asset Vulnerability Enumeration	Identification	General
CVE-2017-0146	Code Execution	Host Operating System	Operating System	Asset Vulnerability Enumeration	Identification	General
CVE-2017-0143	Code Execution	Host Operating System	Operating System	Asset Vulnerability Enumeration	Identification	General
CVE-2019-0708	Code Execution	Host Operating System	Operating System	Asset Vulnerability Enumeration	Identification	General
CVE-2019-0708	Shutdown	Host Operating System	Operating System	Asset Vulnerability Enumeration	Identification	General
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Client-server Payload Profiling	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Network Traffic Community Deviation	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Per Host Download-Upload Ratio Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Protocol Metadata Anomaly Detection	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Remote Terminal Session Detection	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	User Geolocation Logon Pattern Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Network Traffic Filtering	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Asset Vulnerability Enumeration	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Administrative Network Activity Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Connection Attempt Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Broadcast Domain Isolation	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	IPC Traffic Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	DNS Denylisting	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	DNS Traffic Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	DNS Allowlisting	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Forward Resolution Domain Denylisting	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Reverse Resolution IP Denylisting	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	File Carving	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Inbound Traffic Filtering	Containment	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Inbound Session Volume Analysis	Identification	Network
CVE-2005-1794	Man-in-the-Middle	Application	Network Traffic	Forward Resolution IP Denylisting	Containment	Network
